,"Δ (News, Discussion)","Δ (News, Science/Education)","Δ (News, Documentary)","Δ (News, Presentation)","Δ (Discussion, Science/Education)","Δ (Discussion, Documentary)","Δ (Discussion, Presentation)","Δ (Science/Education, Documentary)","Δ (Science/Education, Presentation)","Δ (Documentary, Presentation)"
and,0.00024059448496650555,0.00033468809751981306,4.8610035882979893e-05,0.0008689066087694854,9.409361255330751e-05,0.00019198444908352565,0.0006283121238029798,0.00028607806163683316,0.0005342185112496723,0.0008202965728865055
so,0.00019582263429176517,0.00038740287903039645,0.001285015373537955,0.0006604631622613545,0.00019158024473863128,0.0010891927392461898,0.0004646405279695894,0.0008976124945075585,0.0002730602832309581,0.0006245522112766004
for,0.00030015922375418796,6.769861722420961e-05,4.199340204041023e-05,0.00029968726125805944,0.00023246060652997835,0.0003421526257945982,4.7196249612852306e-07,0.00010969201926461984,0.00023198864403384983,0.00034168066329846967
with,0.00021205582894843567,0.00019959652923361344,0.00023245298524689532,0.00015134706460247715,1.2459299714822226e-05,2.039715629845965e-05,6.070876434595852e-05,3.2856456013281876e-05,4.824946463113629e-05,8.110592064441817e-05
but,0.00030539035410559977,1.9176639671260602e-05,4.096024867827441e-05,9.088404825578994e-05,0.00032456699377686037,0.00026443010542732536,0.00021450630584980983,6.0136888349535014e-05,0.00011006068792705054,4.992379957751553e-05
if,0.0001529392517623224,0.00016230866669084045,0.00023435807168509394,0.00014467479105167525,9.369414928518042e-06,8.141881992277154e-05,8.264460710647164e-06,7.20494049942535e-05,1.7633875639165206e-05,8.96832806334187e-05
as,1.8080149273621367e-05,5.969557097239617e-05,0.0003653701432622506,0.00013021505529097632,7.777572024601754e-05,0.00038345029253587196,0.00014829520456459769,0.0003056745722898544,7.051948431858015e-05,0.00023515508797127428
or,6.210708403424727e-05,6.482246130585541e-05,3.673941139620545e-05,6.38719694218701e-06,0.00012692954534010268,2.5367672638041826e-05,5.571988709206026e-05,0.00010156187270206086,7.120965824804242e-05,3.0352214454018437e-05
because,0.00028708084436194744,6.349620430383071e-06,0.00031576655052264807,4.58863122108072e-05,0.0002934304647923305,0.0006028473948845955,0.00024119453215114023,0.000309416930092265,5.223593264119027e-05,0.00036165286273345527
then,6.806617716828268e-05,1.1546177231188304e-05,0.0001340509780113633,3.4733049086321224e-05,5.651999993709438e-05,0.000202117155179646,0.00010279922625460391,0.0001455971552425516,4.627922631750953e-05,9.931792892504208e-05
also,0.000112357890180132,9.193022577899521e-05,5.8418005952278894e-05,8.886583563915272e-05,2.042766440113678e-05,5.39398842278531e-05,2.3492054540979275e-05,3.351221982671632e-05,3.0643901398424934e-06,3.0447829686873826e-05
when,0.00030470826199771627,0.00018206528312390453,0.00013138161431281952,0.0002704870835956057,0.00012264297887381172,0.00017332664768489672,3.422117840211049e-05,5.068366881108501e-05,8.842180047170122e-05,0.00013910546928278623
before,2.9841740835706245e-05,1.557394502252018e-05,9.268983868989555e-06,4.06307610569474e-05,1.4267795813186065e-05,3.91107247046958e-05,1.0789020221241153e-05,2.4842928891509735e-05,2.5056816034427218e-05,4.989974492593695e-05
after,5.048960473432595e-06,1.632825752261953e-05,0.00011540440122985642,1.3326633149852047e-05,1.1279297049186936e-05,0.00011035544075642383,8.277672676419452e-06,9.907614370723689e-05,3.0016243727674848e-06,0.00010207776808000438
as well,9.146341463414634e-05,9.146341463414634e-05,9.146341463414634e-05,9.146341463414634e-05,0.0,0.0,0.0,0.0,0.0,0.0
still,0.0001317419403492977,7.923259137020472e-05,0.00010103613963421886,8.41673664443387e-05,5.250934897909297e-05,3.0705800715078834e-05,4.7574573904959e-05,2.180354826401414e-05,4.934775074133974e-06,1.6868773189880165e-05
while,0.0,0.0,0.00011445204114603937,0.0,0.0,0.00011445204114603937,0.0,0.00011445204114603937,0.0,0.00011445204114603937
