Marker,News,Discussion,Science/Education,<classes.DatasetMarkerScores.DatasetMarkerScores object at 0x119853910>
so,,0.31,0.29,-57.63
for,,-15.82,20.81,81.3
if,,-19.53,10.68,-0.21
because,,73.77,-41.49,-52.59
since,,-2.88,20.01,106.66
whatever,,88.88,-31.59,-20.83
given,,-7.19,17.58,132.4
because of,,-45.68,63.65,18.02
now that,,-12.84,-10.41,7.63
so that,,-20.58,59.53,-32.35
therefore,,-61.45,220.15,8.48
insofar as,,-98.82,205.92,7.48
as long as,,13.56,0.63,73.76
hence,,-95.2,409.86,73.76
after all,,21.03,364.54,100.76
in case,,176.42,11.62,89.75
given that,,-41.73,100.02,51.74
thus,,-59.66,817.75,127.57
as a result,,101.71,307.89,119.44
in this way,,-25.29,7.07,163.58
